"name","year","quarter","month","sum"
"Bangladesh",NULL,NULL,NULL,10841.0
"Canada",2005,1,"February",0
"Canada",2005,1,"January",0
"Canada",2005,1,"March",0
"Canada",2005,1,NULL,0
"Canada",2005,2,"April",0
"Canada",2005,2,"June",0
"Canada",2005,2,"May",0
"Canada",2005,2,NULL,0
"Canada",2005,3,"August",0
"Canada",2005,3,"July",4.0
"Canada",2005,3,"September",0
"Canada",2005,3,NULL,4.0
"Canada",2005,4,"December",0
"Canada",2005,4,"November",0
"Canada",2005,4,"October",0
"Canada",2005,4,NULL,0
"Canada",2005,NULL,NULL,4.0
"Canada",2006,1,"February",0
"Canada",2006,1,"January",0
"Canada",2006,1,"March",0
"Canada",2006,1,NULL,0
"Canada",2006,2,"April",0
"Canada",2006,2,"June",0
"Canada",2006,2,"May",1.0
"Canada",2006,2,NULL,1.0
"Canada",2006,3,"August",0
"Canada",2006,3,"July",0
"Canada",2006,3,"September",0
"Canada",2006,3,NULL,0
"Canada",2006,4,"December",0
"Canada",2006,4,"November",0
"Canada",2006,4,"October",0
"Canada",2006,4,NULL,0
"Canada",2006,NULL,NULL,1.0
"Canada",2007,1,"February",2.0
"Canada",2007,1,"January",0
"Canada",2007,1,"March",0
"Canada",2007,1,NULL,2.0
"Canada",2007,2,"April",0
"Canada",2007,2,"June",0
"Canada",2007,2,"May",0
"Canada",2007,2,NULL,0
"Canada",2007,3,"August",0
"Canada",2007,3,"July",0
"Canada",2007,3,"September",0
"Canada",2007,3,NULL,0
"Canada",2007,4,"December",4.0
"Canada",2007,4,"November",0
"Canada",2007,4,"October",0
"Canada",2007,4,NULL,4.0
"Canada",2007,NULL,NULL,6.0
"Canada",2008,1,"February",0
"Canada",2008,1,"January",0
"Canada",2008,1,"March",0
"Canada",2008,1,NULL,0
"Canada",2008,2,"April",0
"Canada",2008,2,"June",0
"Canada",2008,2,"May",0
"Canada",2008,2,NULL,0
"Canada",2008,3,"August",2.0
"Canada",2008,3,"July",0
"Canada",2008,3,"September",0
"Canada",2008,3,NULL,2.0
"Canada",2008,4,"December",0
"Canada",2008,4,"November",0
"Canada",2008,4,"October",0
"Canada",2008,4,NULL,0
"Canada",2008,NULL,NULL,2.0
"Canada",2009,1,"February",0
"Canada",2009,1,"January",0
"Canada",2009,1,"March",16.0
"Canada",2009,1,NULL,16.0
"Canada",2009,2,"April",0
"Canada",2009,2,"June",0
"Canada",2009,2,"May",0
"Canada",2009,2,NULL,0
"Canada",2009,3,"August",2.0
"Canada",2009,3,"July",0
"Canada",2009,3,"September",0
"Canada",2009,3,NULL,2.0
"Canada",2009,4,"December",0
"Canada",2009,4,"November",0
"Canada",2009,4,"October",0
"Canada",2009,4,NULL,0
"Canada",2009,NULL,NULL,18.0
"Canada",2010,1,"February",0
"Canada",2010,1,"January",0
"Canada",2010,1,"March",0
"Canada",2010,1,NULL,0
"Canada",2010,2,"April",0
"Canada",2010,2,"June",0
"Canada",2010,2,"May",0
"Canada",2010,2,NULL,0
"Canada",2010,3,"August",0
"Canada",2010,3,"July",0
"Canada",2010,3,"September",0
"Canada",2010,3,NULL,0
"Canada",2010,4,"December",0
"Canada",2010,4,"November",0
"Canada",2010,4,"October",0
"Canada",2010,4,NULL,0
"Canada",2010,NULL,NULL,0
"Canada",2011,1,"February",0
"Canada",2011,1,"January",0
"Canada",2011,1,"March",0
"Canada",2011,1,NULL,0
"Canada",2011,2,"April",0
"Canada",2011,2,"June",0
"Canada",2011,2,"May",6.0
"Canada",2011,2,NULL,6.0
"Canada",2011,3,"August",14.0
"Canada",2011,3,"July",0
"Canada",2011,3,"September",0
"Canada",2011,3,NULL,14.0
"Canada",2011,4,"December",0
"Canada",2011,4,"November",0
"Canada",2011,4,"October",0
"Canada",2011,4,NULL,0
"Canada",2011,NULL,NULL,20.0
"Canada",2012,1,"February",11.0
"Canada",2012,1,"January",0
"Canada",2012,1,"March",0
"Canada",2012,1,NULL,11.0
"Canada",2012,2,"April",0
"Canada",2012,2,"June",0
"Canada",2012,2,"May",0
"Canada",2012,2,NULL,0
"Canada",2012,3,"August",0
"Canada",2012,3,"July",0
"Canada",2012,3,"September",0
"Canada",2012,3,NULL,0
"Canada",2012,4,"December",0
"Canada",2012,4,"November",0
"Canada",2012,4,"October",0
"Canada",2012,4,NULL,0
"Canada",2012,NULL,NULL,11.0
"Canada",2013,1,"February",0
"Canada",2013,1,"January",0
"Canada",2013,1,"March",0
"Canada",2013,1,NULL,0
"Canada",2013,2,"April",0
"Canada",2013,2,"June",4.0
"Canada",2013,2,"May",0
"Canada",2013,2,NULL,4.0
"Canada",2013,3,"August",0
"Canada",2013,3,"July",47.0
"Canada",2013,3,"September",0
"Canada",2013,3,NULL,47.0
"Canada",2013,4,"December",10.0
"Canada",2013,4,"November",0
"Canada",2013,4,"October",0
"Canada",2013,4,NULL,10.0
"Canada",2013,NULL,NULL,61.0
"Canada",2014,1,"February",0
"Canada",2014,1,"January",32.0
"Canada",2014,1,"March",0
"Canada",2014,1,NULL,32.0
"Canada",2014,2,"April",0
"Canada",2014,2,"June",0
"Canada",2014,2,"May",0
"Canada",2014,2,NULL,0
"Canada",2014,3,"August",0
"Canada",2014,3,"July",0
"Canada",2014,3,"September",0
"Canada",2014,3,NULL,0
"Canada",2014,4,"December",0
"Canada",2014,4,"November",0
"Canada",2014,4,"October",0
"Canada",2014,4,NULL,0
"Canada",2014,NULL,NULL,32.0
"Canada",2015,1,"February",0
"Canada",2015,1,"January",0
"Canada",2015,1,"March",0
"Canada",2015,1,NULL,0
"Canada",2015,2,"April",0
"Canada",2015,2,"June",0
"Canada",2015,2,"May",0
"Canada",2015,2,NULL,0
"Canada",2015,3,"August",0
"Canada",2015,3,"July",0
"Canada",2015,3,"September",0
"Canada",2015,3,NULL,0
"Canada",2015,4,"December",0
"Canada",2015,4,"November",0
"Canada",2015,4,"October",0
"Canada",2015,4,NULL,0
"Canada",2015,NULL,NULL,0
"Canada",2016,1,"February",0
"Canada",2016,1,"January",0
"Canada",2016,1,"March",0
"Canada",2016,1,NULL,0
"Canada",2016,2,"April",0
"Canada",2016,2,"June",0
"Canada",2016,2,"May",0
"Canada",2016,2,NULL,0
"Canada",2016,3,"August",0
"Canada",2016,3,"July",0
"Canada",2016,3,"September",0
"Canada",2016,3,NULL,0
"Canada",2016,4,"December",0
"Canada",2016,4,"November",0
"Canada",2016,4,"October",0
"Canada",2016,4,NULL,0
"Canada",2016,NULL,NULL,0
"Canada",2017,1,"February",0
"Canada",2017,1,"January",0
"Canada",2017,1,"March",0
"Canada",2017,1,NULL,0
"Canada",2017,2,"April",0
"Canada",2017,2,"June",0
"Canada",2017,2,"May",2.0
"Canada",2017,2,NULL,2.0
"Canada",2017,3,"August",0
"Canada",2017,3,"July",0
"Canada",2017,3,"September",0
"Canada",2017,3,NULL,0
"Canada",2017,4,"December",0
"Canada",2017,4,"November",0
"Canada",2017,4,"October",0
"Canada",2017,4,NULL,0
"Canada",2017,NULL,NULL,2.0
"Canada",2018,1,"February",0
"Canada",2018,1,"January",0
"Canada",2018,1,"March",0
"Canada",2018,1,NULL,0
"Canada",2018,2,"April",16.0
"Canada",2018,2,"June",0
"Canada",2018,2,"May",0
"Canada",2018,2,NULL,16.0
"Canada",2018,3,"August",0
"Canada",2018,3,"July",70.0
"Canada",2018,3,"September",0
"Canada",2018,3,NULL,70.0
"Canada",2018,4,"December",0
"Canada",2018,4,"November",0
"Canada",2018,4,"October",0
"Canada",2018,4,NULL,0
"Canada",2018,NULL,NULL,86.0
"Canada",2019,1,"February",0
"Canada",2019,1,"January",0
"Canada",2019,1,"March",0
"Canada",2019,1,NULL,0
"Canada",2019,2,"April",0
"Canada",2019,2,"June",0
"Canada",2019,2,"May",1.0
"Canada",2019,2,NULL,1.0
"Canada",2019,3,"August",0
"Canada",2019,3,"July",0
"Canada",2019,3,"September",0
"Canada",2019,3,NULL,0
"Canada",2019,4,"December",0
"Canada",2019,4,"November",1.0
"Canada",2019,4,"October",0
"Canada",2019,4,NULL,1.0
"Canada",2019,NULL,NULL,2.0
"Canada",2020,1,"February",0
"Canada",2020,1,"January",0
"Canada",2020,1,"March",0
"Canada",2020,1,NULL,0
"Canada",2020,2,"April",1.0
"Canada",2020,2,"June",0
"Canada",2020,2,"May",0
